periodo,molienda_cereales_y_oleaginosas,resto_de_alimentos,bebidas,tabaco,textil_indumentaria_y_cuero,madera_papel_y_edicion,refinacion_de_petroleo,quimicos,caucho_y_plastico,minerales_no_metalicos,metales_basicos,metalmecanica,automotriz,resto_de_industria,total_industria
2011-01-01,105416.615,134359.2599999999,55479.25900000003,2836.7,71818.33400000005,114332.4940000001,60890.927,213781.3159999999,81007.37999999995,150271.2660000001,233236.9700000001,21775.632,32388.469,1248.96,1278843.582
2011-02-01,94977.15899999996,135665.267,50855.62700000001,3288.900000000001,78421.27900000004,109878.17,57823.89500000002,196301.0889999999,78415.056,138912.2819999999,283461.3700000001,22502.314,38772.38499999999,1148.86,1290423.653
2011-03-01,116117.421,142766.499,50135.05799999998,3416.1,78679.56600000004,116822.983,59893.73799999998,205461.8369999999,82404.60400000004,162784.83,301485.2199999997,24576.709,44439.64999999999,1090.983,1390075.198
2011-04-01,125882.504,140501.9,45537.44900000003,3437.4,75926.52499999995,115849.901,59897.999,198921.449,82905.49000000002,166599.99,298785.106,24639.75699999999,44271.217,1018.559,1384175.246
2011-05-01,129902.624,140445.8340000001,40377.33799999998,3390.5,77643.101,118444.213,63019.99,206280.268,84707.088,175286.8449999999,329333.99,25105.692,46254.25600000003,982.3500000000001,1441174.089
2011-06-01,124756.641,133670.4,36721.362,3210.6,76433.09699999999,111971.84,57895.05900000002,194765.2800000001,82257.29599999999,156838.2859999999,329282.3050000002,24655.231,46334.30099999999,887.326,1379679.024
2011-07-01,115120.301,134225.579,40342.925,2395,75022.90999999999,117945.441,64270.06600000001,182634.8889999999,81837.57000000004,156541.273,338499.9770000001,24846.384,46249.405,816.917,1380748.637
2011-08-01,118118.608,139676.6809999999,44123.43299999999,2470.3,75191.71800000008,122791.66,62639.15299999998,195508.314,86635.62299999999,161809.779,316381.6880000002,26175.10200000001,47558.768,966.5990000000002,1400047.426
2011-09-01,123703.424,138405.7640000001,45044.167,2421.1,74535.16700000002,119255.084,58945.821,202806.272,84419.55399999995,177745.564,288189.1250000001,24716.741,46650.78999999998,907.5500000000001,1387746.123000001
2011-10-01,116829.9639999999,139042.6800000001,48808.935,2396.6,74752.274,122461.589,61299.029,211232.297,87394.20399999998,176008.142,318643.676,24420.532,45536.88200000001,974.4770000000001,1429801.281
2011-11-01,111599.2549999999,139567.048,52439.41600000003,2572.3,77829.67400000004,117951.93,62077.072,203822.209,86622.02499999999,173180.712,306443.0059999999,24733.349,46460.77,1119.625,1406418.391
2011-12-01,108079.2000000001,135942.0669999999,55149.60200000002,2547.8,61179.04399999999,115733.361,64552.191,214140.6690000001,82267.14199999996,174164.096,282989.735,22459.784,41100.34,1194.83,1361499.861
2012-01-01,110317.948,139983.405,56352.85900000003,3128.8,63021.52699999997,120325.4679999999,57536.277,213472.8810000001,78311.98500000007,161312.5869999999,221642.1749999999,21195.136,36954.38000000001,1056.561,1284611.989
2012-02-01,101077.2740000001,136892.3240000001,52789.65099999999,3182.900000000001,71818.87000000001,114926.705,56090.97399999999,204244.7469999999,77245.59500000002,150624.9959999999,291620.968,21325.597,39195.853,1033.391,1322069.845
2012-03-01,109563.9110000001,146545.848,55073.108,4002.3,81992.715,125923.77,57808.70499999999,213753.1840000001,89691.85800000004,168623.172,327614.7820000002,25048.23100000001,44793.60700000001,1012.043,1451447.234000001
2012-04-01,121822.91,136855.362,44851.81800000002,3107.6,75408.92099999996,114306.623,53956.30500000001,199486.195,82025.05300000004,170526.792,312235.078,23484.96399999999,42446.982,925.6630000000001,1381440.266
2012-05-01,127267.386,144193.1959999999,41170.83900000001,3346.4,78955.71599999999,117057.139,55506.72599999999,206747.5110000001,83304.87700000002,168981.1039999999,304339.8020000001,23972.089,42986.18400000002,855.106,1398684.075
2012-06-01,130530.6730000001,137322.397,36167.039,2493.7,77792.37499999991,114806.566,56072.14600000001,190869.329,83666.73299999998,163719.2710000001,327050.664,23798.099,43396.79900000001,943.816,1388629.607
2012-07-01,117969.146,138790.842,40473.07799999997,2523.3,78805.34300000007,117843.273,63414.29100000001,191902.801,82616.06999999998,158210.45,287849.9540000001,23668.20000000001,45685.677,923.811,1350676.236
2012-08-01,111954.623,143650.715,44731.748,2523.6,81556.76799999998,119547.797,58842.43200000001,195754.776,88946.807,158726.602,295691.1170000002,24629.816,47115.673,1022.812,1374695.286
2012-09-01,105940.273,136398.77,43520.60800000004,2381,78381.85000000001,118407.474,59523.55999999999,204570.0179999999,90698.11399999994,174890.906,293425.3799999998,23195.67,44160.82200000001,1048.896,1376543.341
2012-10-01,100349.753,141944.994,47690.83299999999,2640.2,81350.527,121315.1279999999,60873.39499999999,209258.026,90453.95399999995,177735.8920000001,320131.5740000001,23561.12,45987.941,967.3529999999998,1424260.69
2012-11-01,96797.70399999997,144127.192,52355.50100000001,2595.6,82925.34400000003,117595.152,58102.43400000001,207503.346,92643.47500000005,164918.248,304459.099,24136.721,46035.42700000002,1093.875,1395289.118
2012-12-01,90098.50300000003,134378.464,56348.40900000003,2641.4,66724.94599999998,113200.672,58241.21200000001,211363.0390000001,83696.24699999996,166840.49,258411.6240000002,21031.51300000001,40281.748,1002.067,1304260.334
2013-01-01,89465.13,142628.4599999999,55922.112,3158.1,67760.45700000001,111123.528,58676.899,200360.8230000001,84918.54599999994,156776.3620000001,229062.624,19723.576,33268.72800000001,1025.487,1253870.832
2013-02-01,80051.58499999996,135007.429,50828.73799999999,3137.8,67135.958,106711.9,54761.76699999999,194937.9570000001,77588.21999999997,152354.126,236981.295,20105.82000000001,40410.13700000001,943.888,1220956.62
2013-03-01,91467.67600000002,143590.485,53512.82399999999,3675.5,78501.44499999998,113519.99,59586.35599999999,212193.6569999999,87273.42499999999,170449.0979999999,302002.0219999999,23504.014,45214.31400000002,846.191,1385336.997
2013-04-01,112427.172,147159.6010000001,43887.17799999999,3434.2,79810.98199999993,109581.961,63726.541,203867.8020000002,87188.94800000005,165570.7640000001,280039.7899999997,23654.283,43925.37299999999,849.1290000000001,1365123.724
2013-05-01,120776.12,150118.2969999998,43510.92500000002,3492.900000000001,81253.83999999998,115863.156,66966.47000000002,215313.543,90314.69699999997,175925.34,292850.4390000001,24878.73700000001,46998.987,903.4619999999999,1429166.913
2013-06-01,125447.795,138919.075,38016.18300000001,2362.9,78440.54999999997,113753.2810000001,68676.19400000003,193777.5770000001,83622.68399999999,168491.5700000001,261061.7399999999,22485.677,43162.094,941.0820000000001,1339158.402
2013-07-01,113581.265,143947.589,42819.59600000001,2472.3,81268.47499999998,110193.586,69955.985,173561.828,87962.18199999994,161871.9940000002,274346.8970000001,24479.464,45699.26799999999,1092.169,1333252.598
2013-08-01,113600.506,145726.941,43916.785,2550.2,82438.86799999993,117212.19,68572.15400000001,192771.0980000001,90009.61599999994,175089.745,291836.847,24515.90200000001,46046.33800000002,1136.608,1395423.798
2013-09-01,108893.8599999999,138728.2220000001,46972.82100000003,2367.6,82463.67600000002,118863.249,66523.45799999998,202310.2130000001,89641.961,180620.089,303004.3580000002,23665.614,45532.74100000001,1114.396,1410702.258
2013-10-01,91893.50099999995,144241.5599999999,51285.53900000003,2633.3,84168.39900000002,124398.595,65367.035,215905.1310000001,91008.291,182872.199,326415.488,23702.475,46046.698,1119.859,1451058.07
2013-11-01,83007.83600000001,142696.673,53276.87500000001,2582.6,83612.67400000004,119667.487,67723.70200000002,210889.0859999999,90989.64799999997,179301.524,320544.917,23619.29,44111.97000000002,1164.135,1423188.417
2013-12-01,77030.60599999999,140903.6969999999,56870.71399999999,2856.8,73578.65999999997,114347.576,70634.93299999998,219705.207,83748.71800000001,175030.714,281884.19,21607.289,38884.14500000003,1115.147,1358198.396
2014-01-01,87972.72100000002,141938.8470000001,59583.45,3162.5,65820.85800000002,115866.553,71028.99200000001,221871.9950000001,83666.55999999997,155094.1829999999,232484.003,20491.265,30332.35600000001,1173.128,1290487.411
2014-02-01,87901.95499999999,139738.2959999999,54454.72600000002,3108.5,73459.07499999998,109364.752,59153.52099999999,201382.279,77586.24299999999,147251.4599999999,247904.475,20042.06200000001,40158.923,1102.591,1262608.858
2014-03-01,98188.29500000006,139814.5139999999,49446.96000000001,3355.6,77703.94500000002,116376.367,63015.33100000002,209971.8550000001,81892.65700000005,166407.839,292649.8780000001,21971.142,38329.50999999999,812.938,1359936.831000001
